N,P,K,temperature,humidity,ph,rainfall,label
81,46,42,26.28,83.84,6.09,209.72,rice
105,43,35,26.48,89.08,6.31,268.23,rice
85,39,40,20.95,80.91,6.47,226.92,rice
101,57,44,25.66,81.57,5.6,248.12,rice
102,54,44,21.68,84.36,5.79,260.33,rice
98,35,35,24.28,83.73,5.7,262.57,rice
110,44,39,24.88,84.9,5.97,267.09,rice
98,35,38,25.07,86.1,6.45,260.82,rice
116,59,38,23.97,81.58,6.02,207.44,rice
96,58,36,26.76,86.85,5.86,291.4,rice
116,48,41,22.18,80.53,6.01,263.59,rice
98,39,45,25.25,80.44,5.89,225.2,rice
88,47,37,22.41,86.11,5.85,267.52,rice
115,37,36,24.43,84.84,6.43,254.82,rice
105,41,42,21.86,86.32,6.27,254.83,rice
102,39,43,24.89,82.17,5.96,207.63,rice
88,54,44,24.25,83.02,6.18,299.41,rice
119,48,39,26.38,87.93,6.29,237.37,rice
113,42,37,20.23,80.06,5.52,299.26,rice
102,36,45,21.21,80.62,6.32,252.0,rice
97,59,43,23.71,85.28,6.34,266.08,rice
119,59,39,24.59,85.72,6.18,262.8,rice
109,59,44,20.49,87.08,5.98,232.56,rice
120,51,44,24.7,82.34,6.12,259.39,rice
114,52,40,26.44,82.18,6.44,208.96,rice
89,59,35,26.92,81.23,6.3,298.96,rice
90,45,43,23.26,80.71,5.98,220.98,rice
105,41,35,25.58,81.36,6.11,270.23,rice
99,54,45,25.23,85.68,6.29,223.62,rice
81,46,44,21.49,86.39,6.32,229.13,rice
85,48,45,24.03,87.81,5.64,297.52,rice
94,40,38,25.25,81.73,6.47,291.96,rice
116,41,41,20.23,89.91,6.49,222.47,rice
92,51,35,22.75,81.25,6.0,239.64,rice
118,43,44,20.73,83.04,6.39,226.63,rice
120,40,37,26.64,80.98,6.18,200.12,rice
90,48,40,25.59,81.33,6.39,270.63,rice
93,52,39,25.44,81.13,5.79,239.86,rice
89,42,39,25.48,81.69,5.95,204.15,rice
119,44,36,26.91,88.19,6.45,210.43,rice
85,52,41,24.82,82.97,5.67,262.96,rice
109,36,42,25.98,86.21,5.62,244.23,rice
87,49,40,21.76,85.53,5.78,231.54,rice
97,57,39,23.73,83.53,6.06,260.16,rice
111,57,38,25.9,84.55,5.84,245.76,rice
90,54,42,26.22,82.79,6.32,237.93,rice
95,58,44,20.67,89.89,6.31,257.26,rice
89,36,36,22.85,89.21,6.24,252.84,rice
106,39,37,21.94,82.41,5.73,226.26,rice
109,56,45,20.84,82.44,6.49,284.49,rice
87,46,41,21.16,87.01,6.4,291.34,rice
115,38,39,25.61,82.77,6.08,262.65,rice
99,35,39,24.54,88.33,5.74,211.13,rice
87,51,36,25.79,82.33,6.3,253.27,rice
93,49,44,23.81,83.44,6.33,208.37,rice
95,55,43,26.76,82.04,5.77,221.75,rice
107,49,37,22.3,83.47,5.8,249.44,rice
91,54,42,21.76,83.54,5.74,255.21,rice
84,48,37,23.16,81.88,6.43,237.96,rice
89,56,35,26.7,85.51,5.55,275.52,rice
118,37,36,24.98,89.08,5.5,221.29,rice
102,43,35,23.9,84.31,6.01,245.92,rice
92,35,45,21.57,81.73,6.35,291.0,rice
107,51,40,21.1,83.19,5.58,232.35,rice
92,37,36,20.95,88.51,6.11,240.95,rice
80,53,38,23.76,80.78,6.01,201.08,rice
111,41,44,22.72,85.47,6.5,222.03,rice
103,52,39,25.44,88.37,5.97,272.83,rice
95,53,39,20.5,88.32,5.85,203.7,rice
82,35,37,21.67,88.14,5.52,288.36,rice
82,35,39,21.59,81.61,6.48,248.44,rice
106,51,36,25.02,89.03,6.07,254.26,rice
94,49,45,23.11,85.44,5.97,220.43,rice
107,57,43,23.58,80.08,6.01,295.23,rice
90,42,45,21.14,86.81,6.3,202.26,rice
101,58,44,26.52,89.04,6.34,271.71,rice
92,59,40,21.49,89.38,6.14,207.26,rice
82,39,41,24.58,89.77,6.28,288.31,rice
115,56,42,24.11,81.51,5.95,267.7,rice
110,47,41,23.91,87.32,6.02,229.65,rice
87,46,37,22.84,89.79,5.63,282.93,rice
100,35,36,23.31,84.91,6.06,229.07,rice
97,48,42,23.34,82.48,5.79,244.46,rice
86,36,37,22.82,85.41,6.36,222.01,rice
108,43,36,26.47,81.51,6.08,280.92,rice
117,44,44,22.92,80.27,6.07,238.12,rice
83,56,36,25.63,86.02,6.47,229.45,rice
112,43,43,26.65,89.93,6.04,297.39,rice
116,59,45,26.52,84.53,5.98,287.87,rice
86,44,40,20.47,88.13,6.02,204.77,rice
81,46,41,21.09,87.44,5.62,263.1,rice
104,53,43,20.92,81.54,6.3,225.18,rice
104,60,45,26.88,87.69,6.12,275.92,rice
116,47,45,24.27,82.46,6.39,283.21,rice
90,44,40,20.65,89.22,6.1,240.17,rice
86,55,38,23.3,85.26,6.4,238.82,rice
80,54,42,23.64,82.3,6.35,263.37,rice
117,38,36,24.37,83.53,5.82,295.4,rice
87,51,43,21.54,83.5,6.36,281.89,rice
103,57,35,22.49,85.32,6.44,281.31,rice
86,58,17,22.85,59.03,6.35,61.18,maize
91,47,16,23.63,57.15,6.88,106.19,maize
62,58,18,18.19,64.78,6.09,81.74,maize
65,58,20,19.12,61.08,6.97,79.76,maize
79,53,20,26.45,59.51,5.98,75.56,maize
96,50,15,23.18,69.71,5.87,69.33,maize
63,42,18,18.35,69.08,6.93,101.2,maize
94,43,25,26.09,64.25,6.76,87.68,maize
91,43,25,22.07,57.75,6.22,106.18,maize
73,38,22,23.03,67.23,6.48,105.92,maize
98,35,24,21.63,61.62,5.85,99.41,maize
87,38,21,22.61,60.32,6.44,104.54,maize
60,44,21,23.4,68.01,6.35,94.08,maize
82,42,25,26.9,68.15,6.94,93.34,maize
87,45,18,20.89,60.31,6.55,65.35,maize
78,51,24,25.47,61.17,5.59,73.45,maize
92,57,19,19.4,57.07,6.41,84.62,maize
72,56,21,22.26,56.7,6.67,93.51,maize
79,60,25,25.5,65.65,5.63,78.75,maize
70,35,19,22.93,60.52,6.37,61.12,maize
93,45,23,24.18,59.47,6.56,94.16,maize
97,43,21,21.23,58.27,5.51,105.7,maize
74,60,25,19.58,62.86,5.72,78.17,maize
87,46,18,21.52,61.64,6.21,93.14,maize
100,37,17,24.94,67.57,6.95,92.97,maize
76,43,24,19.02,69.42,6.12,98.28,maize
73,54,16,19.15,60.49,6.46,86.8,maize
